shipment_id,shipment_date,clearance_date,exporter_business_unit,consignee_name,consignee_address,schedule_b_code,eccn,bom_origin_country,bom_tooling_origin,item_quantity,unit_value_usd,license_type,license_obtained,port_of_exit,clearance_hours,pga_required,pga_obtained,trusted_trader_status,total_value_usd,consignee_country,shipment_month,shipment_year,shipment_quarter,shipment_day_of_week,address_red_flag
EXP-100000,2025-10-17,2025-10-19 13:00:00,US-MedicalDevices,EURO MEDICAL SOLUTIONS,"234 Innovation Drive, Bangalore, IN",8471.30.0100,9A004,DE,US,104,1548.49,EXCEPTION,Y,HOUSTON,61,N,Y,N,161042.96,IN,2025-10,2025,4,4,False
EXP-100001,2026-06-20,2026-06-22 05:00:00,US-MedicalDevices,MED-SUPPLY-EU,"678 Commerce Street, Mexico City, MX",9018.90.7500,EAR99,CN,KR,57,256.52,EXCEPTION,Y,NEW YORK,53,Y,Y,Y,14621.64,MX,2026-06,2026,2,5,False
EXP-100002,2026-04-03,2026-04-05 23:00:00,US-IndustrialEquipment,ASIA TECH IMPORTS,"234 Innovation Drive, Bangalore, IN",8803.30.0030,EAR99,US,KR,457,268.82,NLR,Y,LOS ANGELES,71,N,Y,Y,122850.74,IN,2026-04,2026,2,4,False
EXP-100003,2025-10-21,2025-10-23 13:00:00,US-MedicalDevices,ASIA TECH IMPORTS,"456 Industrial Zone, Riyadh, SA",8542.31.0000,EAR99,US,US,311,1492.63,LICENSE,Y,NEW YORK,61,N,Y,N,464207.93000000005,SA,2025-10,2025,4,1,False
EXP-100004,2025-09-16,2025-09-17 01:00:00,US-MedicalDevices,AL-KHOBAR DISTRIBUTORS,"234 Innovation Drive, Bangalore, IN",3004.90.9203,5A001,IE,JP,372,746.06,LICENSE,Y,NEWARK,25,Y,Y,N,277534.32,IN,2025-09,2025,3,1,False
EXP-100005,2026-01-11,2026-01-12 06:00:00,US-IndustrialEquipment,NORTH STAR SUPPLY,"456 Industrial Zone, Riyadh, SA",9022.14.0000,EAR99,KR,DE,172,4367.93,LICENSE,Y,SEATTLE,30,N,Y,N,751283.9600000001,SA,2026-01,2026,1,6,False
EXP-100006,2025-07-27,2025-07-29 17:00:00,US-ConsumerElectronics,AL-KHOBAR DISTRIBUTORS,"678 Commerce Street, Mexico City, MX",8542.31.0000,EAR99,US,JP,384,2109.71,NLR,Y,SEATTLE,65,N,Y,N,810128.64,MX,2025-07,2025,3,6,False
EXP-100007,2025-10-17,2025-10-17 12:00:00,US-Pharmaceuticals,MED-SUPPLY-EU,"789 Haidian District, Beijing, CN",8471.30.0100,EAR99,US,JP,156,1746.65,NLR,Y,SEATTLE,12,N,Y,Y,272477.4,CN,2025-10,2025,4,4,False
EXP-100008,2025-11-05,2025-11-06 14:00:00,US-AerospaceParts,ASIA TECH IMPORTS,"678 Commerce Street, Mexico City, MX",8803.30.0030,3A001,US,US,165,1097.32,LICENSE,Y,NEWARK,38,N,Y,Y,181057.8,MX,2025-11,2025,4,2,False
EXP-100009,2026-02-06,2026-02-06 15:00:00,US-MedicalDevices,GLOBAL LOGISTICS LTD,"567 Business Park, Singapore, SG",3004.90.9203,3A001,KR,JP,407,4207.59,NLR,Y,SEATTLE,15,N,N,N,1712489.13,SG,2026-02,2026,1,4,False
EXP-100010,2026-06-02,2026-06-04 19:00:00,US-Pharmaceuticals,EURO MEDICAL SOLUTIONS,"234 Innovation Drive, Bangalore, IN",3004.90.9203,EAR99,CN,JP,333,3964.41,NLR,Y,CHICAGO O'HARE,67,Y,Y,Y,1320148.53,IN,2026-06,2026,2,1,False
EXP-100011,2025-10-02,2025-10-05 10:00:00,US-ConsumerElectronics,AL-KHOBAR DISTRIBUTORS,"234 Innovation Drive, Bangalore, IN",9018.90.7500,EAR99,JP,DE,69,1927.79,NLR,Y,MIAMI,82,N,Y,Y,133017.51,IN,2025-10,2025,4,3,False
EXP-100012,2025-10-14,2025-10-15 01:00:00,US-ConsumerElectronics,PEACEFUL MEDICAL SUPPLIES,"KORDAY ROAD, PYONGYANG, NORTH KOREA",9018.90.7500,EAR99,MX,DE,480,855.1,LICENSE,Y,MIAMI,25,N,Y,Y,410448.0,NORTH KOREA,2025-10,2025,4,1,True
EXP-100013,2026-07-01,2026-07-03 00:00:00,US-ConsumerElectronics,EURO MEDICAL SOLUTIONS,"678 Commerce Street, Mexico City, MX",9018.90.7500,5A002,MX,IL,476,4760.42,EXCEPTION,Y,SEATTLE,48,N,Y,N,2265959.92,MX,2026-07,2026,3,2,False
EXP-100014,2025-12-05,2025-12-08 09:00:00,US-MedicalDevices,NORTH STAR SUPPLY,"678 Commerce Street, Mexico City, MX",8517.62.0010,3A001,US,KR,58,1586.14,LICENSE,Y,NEWARK,81,N,Y,Y,91996.12,MX,2025-12,2025,4,4,False
EXP-100015,2025-11-14,2025-11-14 16:00:00,US-ConsumerElectronics,PACIFIC TRADING GROUP,"123 Corporate Blvd, Dublin, IE, PYONGYANG, NORTH KOREA",8471.30.0100,EAR99,US,JP,207,3857.75,EXCEPTION,N,CHICAGO O'HARE,16,Y,Y,Y,798554.25,CRIMEA,2025-11,2025,4,4,True
EXP-100016,2025-12-03,2025-12-04 07:00:00,US-MedicalDevices,EURO MEDICAL SOLUTIONS,"567 Business Park, Singapore, SG",8708.29.5060,5A002,CN,US,472,2320.62,NLR,Y,CHICAGO O'HARE,31,N,Y,N,1095332.64,SG,2025-12,2025,4,2,False
EXP-100017,2026-05-11,2026-05-12 09:00:00,US-ConsumerElectronics,ASIA TECH IMPORTS,"321 Avenue de la Gare, Brussels, BE",9030.90.0000,EAR99,US,DE,416,3910.41,LICENSE,Y,NEW YORK,33,N,Y,N,1626730.56,BE,2026-05,2026,2,0,False
EXP-100018,2026-03-21,2026-03-23 09:00:00,US-ConsumerElectronics,MED-SUPPLY-EU,"789 Haidian District, Beijing, CN",9022.14.0000,5A002,IE,TW,85,2413.23,NLR,N,NEW YORK,57,Y,Y,N,205124.55,CN,2026-03,2026,1,5,False
